"","total_VaR.level","total_VaR.results_up","total_VaR.results_down","x1_VaR.level","x1_VaR.results_up","x1_VaR.results_down","x2_VaR.level","x2_VaR.results_up","x2_VaR.results_down","x1_CoVaR.level","x1_CoVaR.results_up","x1_CoVaR.results_down","x2_CoVaR.level","x2_CoVaR.results_up","x2_CoVaR.results_down","x1_g_CoVaR.level","x1_g_CoVaR.results_up","x1_g_CoVaR.results_down","x2_g_CoVaR.level","x2_g_CoVaR.results_up","x2_g_CoVaR.results_down"
"1",0.9,0.746656442085823,0.0133002735699912,0.9,0.24244382201775,0.407452518428458,0.9,0.743181227571638,0.509138792090372,0.9,1,0.268233714356368,0.9,0.361735853201472,0.102611246646894,0.9,1,0.268233714356368,0.9,0.101117016823216,0.242885544508416
"2",0.95,0.0547251938566227,0.821508665991326,0.95,0.157755582591328,0.649257964051792,0.95,0.824129802449939,0.355012943002714,0.95,0.133019677611949,0.272012692066787,0.95,0.21479668524145,0.332261816293044,0.95,0.133019677611949,0.272012692066787,0.95,0.21479668524145,0.332261816293044
"3",0.975,0.00116672245657101,0.020345706609048,0.975,0.00116672245657101,0.020345706609048,0.975,0.874849009404691,0.00577259661256901,0.975,0.476720515475301,0.6967197259357,0.975,0.750309406567334,0.652676421894487,0.975,0.476720515475301,0.6967197259357,0.975,0.750309406567334,0.652676421894487
"4",0.99,0.00366595910426382,0.0593879452038034,0.99,0.00366595910426382,0.00366595910426382,0.99,0.00366595910426382,0.00366595910426382,0.99,1,1,0.99,1,1,0.99,1,1,0.99,1,1
"5",0.995,0.0401736614995706,0.0401736614995706,0.995,0.0401736614995706,0.0401736614995706,0.995,0.0401736614995706,0.0401736614995706,0.995,1,1,0.995,1,1,0.995,1,1,0.995,1,1
