"","total_VaR.level","total_VaR.results_up","total_VaR.results_down","x1_VaR.level","x1_VaR.results_up","x1_VaR.results_down","x2_VaR.level","x2_VaR.results_up","x2_VaR.results_down","x1_CoVaR.level","x1_CoVaR.results_up","x1_CoVaR.results_down","x2_CoVaR.level","x2_CoVaR.results_up","x2_CoVaR.results_down","x1_g_CoVaR.level","x1_g_CoVaR.results_up","x1_g_CoVaR.results_down","x2_g_CoVaR.level","x2_g_CoVaR.results_up","x2_g_CoVaR.results_down"
"1",0.9,0.00354686051777453,5.99520433297585e-15,0.9,0.509138792090372,0.266010606297573,0.9,0.423942078595716,0.00134662566882104,0.9,0.885087913501595,0.0708838872391138,0.9,0.116634358872,0.0109333015741965,0.9,0.379067804269091,0.0708838872391138,0.9,0.654529976532035,0.0109333015741965
"2",0.95,0.821508665991326,3.63476716624955e-06,0.95,0.821508665991326,7.06160897534502e-08,0.95,0.649257964051792,1.56541446472147e-14,0.95,0.958366425204418,0.000330575527710653,0.95,1,2.70268315135658e-05,0.95,0.162678994780625,0.000330575527710653,0.95,0.152033171027509,2.70268315135658e-05
"3",0.975,0.020345706609048,0.020345706609048,0.975,0.0559290620859992,0,0.975,0.0559290620859992,0,0.975,0.614846130567659,4.57193480518647e-07,0.975,0.614846130567659,2.72884465024603e-08,0.975,0.614846130567659,4.57193480518647e-07,0.975,0.614846130567659,2.72884465024603e-08
"4",0.99,0.00366595910426382,0.921243117260305,0.99,0.0593879452038034,0,0.99,0.00366595910426382,0,0.99,1,3.27196048033329e-11,0.99,0.887256280075909,1.62658775337832e-12,0.99,1,3.27196048033329e-11,0.99,0.887256280075909,1.62658775337832e-12
"5",0.995,0.0401736614995706,0.242930493426917,0.995,0.0401736614995706,0,0.995,0.0401736614995706,0,0.995,1,1.80966353013901e-14,0.995,1,8.88178419700125e-16,0.995,1,1.80966353013901e-14,0.995,1,8.88178419700125e-16
