"","total_VaR.level","total_VaR.results_up","total_VaR.results_down","x1_VaR.level","x1_VaR.results_up","x1_VaR.results_down","x2_VaR.level","x2_VaR.results_up","x2_VaR.results_down","x1_CoVaR.level","x1_CoVaR.results_up","x1_CoVaR.results_down","x2_CoVaR.level","x2_CoVaR.results_up","x2_CoVaR.results_down","x1_g_CoVaR.level","x1_g_CoVaR.results_up","x1_g_CoVaR.results_down","x2_g_CoVaR.level","x2_g_CoVaR.results_up","x2_g_CoVaR.results_down"
"1",0.9,0.407452518428458,1.46679557389007e-10,0.9,0.0908927882428344,0.0133002735699912,0.9,0.621814902637724,0.060376681355129,0.9,0.617994348759487,1.44296465033333e-05,0.9,0.134687187053616,4.24577175143215e-05,0.9,0.267460644257577,1.44296465033333e-05,0.9,0.00941123740386263,4.24577175143215e-05
"2",0.95,0.00254775716312172,0.00254775716312172,0.95,0.243447788462699,5.82045522889985e-12,0.95,0.649257964051792,4.67201277665197e-10,0.95,0.162678994780625,5.8300608785089e-10,0.95,0.200135488887367,2.08593131656443e-09,0.95,0.162678994780625,5.8300608785089e-10,0.95,0.200135488887367,2.08593131656443e-09
"3",0.975,0.00116672245657101,0.630949348896479,0.975,0.00116672245657101,0,0.975,0.874849009404691,0,0.975,0.476720515475301,9.32587340685131e-15,0.975,0.750309406567334,3.68594044175552e-14,0.975,0.476720515475301,9.32587340685131e-15,0.975,0.750309406567334,3.68594044175552e-14
"4",0.99,0.00366595910426382,0.0410452274760796,0.99,0.00366595910426382,0,0.99,0.00366595910426382,0,0.99,1,0,0.99,1,0,0.99,1,0,0.99,1,0
"5",0.995,0.0401736614995706,0.000404838275908426,0.995,0.0401736614995706,0,0.995,0.0401736614995706,0,0.995,1,0,0.995,1,0,0.995,1,0,0.995,1,0
